Powder Material,Power (W),Travel Velocity (mm/s),Melt Pool Depth (mm),Melt Pool Width (mm),Melt Pool Length (mm),beamD (mm),Fe (%),Ni (%),Cr (%),Co (%),Al (%),Ti (%),Mo (%),C (%),Mn (%),Si (%),Cu (%),Nb (%),W (%),V (%),Mg (%),Zn (%),Y (%),Nd (%)
SS316L,100.0,100.0,0.12,0.24,0.135,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,100.0,500.0,0.055,0.11,0.093,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,100.0,1000.0,0.0375,0.075,0.08,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,100.0,1500.0,0.03,0.06,0.074,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,100.0,2000.0,0.0255,0.051,0.068,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,100.0,2500.0,0.024,0.048,0.064,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,150.0,100.0,0.146,0.292,0.18,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,150.0,500.0,0.065,0.13,0.123,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,150.0,1000.0,0.046,0.092,0.105,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,150.0,1500.0,0.0375,0.075,0.095,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,150.0,2000.0,0.034,0.068,0.088,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,150.0,2500.0,0.03,0.06,0.082,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,200.0,100.0,0.1685,0.337,0.227,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,200.0,500.0,0.075,0.15,0.15,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,200.0,1000.0,0.055,0.11,0.128,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,200.0,1500.0,0.0435,0.087,0.118,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,200.0,2000.0,0.0375,0.075,0.106,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,200.0,2500.0,0.035,0.07,0.102,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,250.0,100.0,0.1875,0.375,0.27,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,250.0,500.0,0.085,0.17,0.18,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,250.0,1000.0,0.06,0.12,0.152,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,250.0,1500.0,0.05,0.1,0.14,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,250.0,2000.0,0.0415,0.083,0.127,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,250.0,2500.0,0.0375,0.075,0.12,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,300.0,100.0,0.2,0.4,0.317,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,300.0,500.0,0.0915,0.183,0.208,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,300.0,1000.0,0.065,0.13,0.175,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,300.0,1500.0,0.054,0.108,0.158,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,300.0,2000.0,0.046,0.092,0.146,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,300.0,2500.0,0.041,0.082,0.139,35.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
Ti-6Al-4V,100.0,2000.0,0.011,0.024,0.07,20.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,150.0,2000.0,0.03,0.06,0.18,20.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,200.0,2000.0,0.043,0.073,0.245,20.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,250.0,2000.0,0.052,0.095,0.278,20.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,200.0,1000.0,0.055,0.073,0.127,20.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,200.0,1500.0,0.05,0.068,0.168,20.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,200.0,2500.0,0.045,0.063,0.255,20.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
